Code,Name,Street_Add,Town,Type,ZipCode,Waste,Lat,Long,X_Coord,Y_Coord,Status,Score
R3445,99 Restaurant & Pub,333 Littleton Rd,Westford,R,01886,85.5,42.55465251,-71.44840579,204237.2279,922678.7397,M,100
R3446,99 Restaurant & Pub,144 Lowell St,Wilmington,R,01887,85.5,42.54038204,-71.15466134,228367.6383,921149.6918,M,100
R3447,99 Restaurant & Pub,11 E Central St,Worcester,R,01605,85.5,42.26661235,-71.79520406,175645.3746,890724.6243,M,100
R3448,99 Restaurant & Pub,50 SW Cutoff Ste 1,Worcester,R,01604,85.5,42.2391645,-71.74587367,179706.3794,887662.9776,M,100
R3453,99 Restaurant & Pub,20 CUMMINGS ST,SOMERVILLE,R,02145,88.5,42.3944881,-71.0835915,234284.7008,904970.1037,M,51
R3456,99 Restaurant & Pub,160 Lexington Rd,Billerica,R,01821,90,42.52849707,-71.25705546,219960.3222,919800.4905,M,100
R3457,99 Restaurant & Pub,390 N Main St,East Longmeadow,R,01028,90,42.07791621,-72.52450114,115227.7761,870232.5905,M,100
R3458,99 Restaurant & Pub,404 Pleasant St Bldg 7,Fall River,R,02721,90,41.69912136,-71.14844933,229263.0374,827711.4098,M,100
R3459,99 Restaurant & Pub,255 Washington St,Hudson,R,01749,90,42.37622183,-71.56466752,194674.0861,902859.4651,M,100
R3460,99 Restaurant & Pub,850 Chelmsford St,Lowell,R,01851,90,42.6168426,-71.3254466,214321.2327,929600.3887,M,100
R3461,99 Restaurant & Pub,317 Salem St,Lynnfield,R,01940,90,42.5124328,-71.02357761,239152.6778,918096.9701,M,100
R3462,99 Restaurant & Pub,196 E Main St B,Milford,R,01757,90,42.15090955,-71.50131963,199890.9305,877830.9741,M,100
R3463,99 Restaurant & Pub,267 Chickering Rd,North Andover,R,01845,90,42.686389,-71.1219565,230982.2561,937379.9876,M,100
R3464,99 Restaurant & Pub,1510 S Washington St,North Attleboro,R,02760,90,41.933723,-71.3517415,212295.7585,853718.6066,M,100
R3465,99 Restaurant & Pub,161 Faunce Corner Mall Rd,North Dartmouth,R,02747,90,41.65190697,-70.98765755,242678.6896,822535.2911,M,86
R3466,99 Restaurant & Pub,2 Accord Park Dr,Rockland,R,02370,90,42.16731873,-70.88894916,250490.9742,879834.4387,M,100
R3467,99 Restaurant & Pub,181 Broadway,Saugus,R,01906,90,42.49347411,-71.01647091,239748.6426,915994.3468,M,100
R3468,99 Restaurant & Pub,821 Fall River Ave,Seekonk,R,02771,90,41.80425433,-71.33082666,214058.8404,839341.9488,M,100
R3469,99 Restaurant & Pub,10 Main St,Stoneham,R,02180,90,42.49953265,-71.10078196,232814.7353,916631.4603,M,100
R3470,99 Restaurant & Pub,110 South St,Waltham,R,02453,90,42.37201583,-71.24997806,220592.7499,902420.437,M,100
R3471,99 Restaurant & Pub,194 Cambridge Rd,Woburn,R,01801,90,42.4669757,-71.1774351,226527.7467,912988.3986,M,100
R3472,99 Restaurant & Pub,160 Olympia Ave,Woburn,R,01801,90,42.50015536,-71.14216268,229413.0733,916685.5361,M,100
R3578,99 Restaurant & Pub,362 Turnpike St,Canton,R,02021,97.5,42.17228634,-71.11134616,232112.0163,880278.5077,M,100
R3579,99 Restaurant & Pub,4 Fisher St,Foxboro,R,02035,97.5,42.03890998,-71.23822117,221674.6409,865424.2861,M,100
R3580,99 Restaurant & Pub,99 Belmont St,South Easton,R,02375,97.5,42.05311034,-71.07567408,235125.2028,867055.6375,M,100
R3581,99 Restaurant & Pub,55 PROVIDENCE HWY,EAST WALPOLE,R,02081,97.5,42.15655717,-71.20268283,224571.5683,878501.0929,M,51
R3612,99 Restaurant & Pub,793 Southbridge St,Auburn,R,01501,105,42.18143997,-71.86868204,169542.5117,881287.8916,M,100
R3613,99 Restaurant & Pub,291 Mishawum Rd,Woburn,R,01801,105,42.50358074,-71.13390045,230090.5648,917068.9073,M,100
R3242,99 Restaurant The,60 Commonwealth Ave,Danvers,R,01923,75,42.54974541,-70.94322771,245728.7389,922281.6157,M,100
F1,A & A Seafood Inc,7 Conway St,New Bedford,F,02740,41.62686,-70.91706135,248578.3564,819791.2048,M,100
G2,A & P Super Foodmart,Main St,Dennis,G,02639,39,41.74739,-70.17838,309924.3421,833863.8267,M,100
G3,A & P Super Foodmart,170 Clay Pond Rd,Bourne,G,02532,75,41.71682161,-70.58943223,275773.3448,830021.4913,M,100
G4,A & P Super Foodmart,770 Main St,Barnstable,G,02655,33,41.64751008,-70.29497658,300383.9395,822627.8616,M,100
G5,A & P Super Foodmart,28 Shank Painter Rd,Provincetown,G,02657,150,42.0490116,-70.19350453,308153.3563,867341.3374,M,100
G6,A & P Super Foodmart,George Ryder Rd,Chatham,G,02633,37.5,41.68308477,-69.99558779,325252.3747,826974.5595,M,63
G7,A & P Variety Store,60 Aborn St,Peabody,G,01960,262.5,42.52071414,-70.92178687,247511.5487,919068.5645,M,100
F2,A Arena & Sons Inc,159 Ash St,Hopkinton,F,01748,42.21466108,-71.49816665,200151.3779,884912.0435,M,100
F3,A D Makepeace CO,158 Tihonet Rd,Wareham,F,02571,41.78828304,-70.71339696,265384.6793,837855.5978,M,100
R2044,A J Tomaiolo Food & Spirits,411 W Main St Ste 2,Northborough,R,01532,37.5,42.30542911,-71.66686493,186241.8949,895007.5099,M,100
R3243,A K Diamonds,16 Macys Ln,Nantucket,R,02554,75,41.2610602,-70.0647165,320286.2115,780008.4783,M,100
R1903,A Lighter Fare,10 Bassett St,Milton,R,02186,31.5,42.25922002,-71.04140764,237838.6289,889963.0993,M,100
W2,"A M L International, Inc",7 Conway St,New Bedford,W,02740,41.62686,-70.91706135,248578.3564,819791.2048,M,100
W3,A Martucci & Sons Inc,126 Newmarket Sq,Boston,W,02118,42.33020601,-71.06755799,235640.9976,897836.5132,M,66
W4,A P Fish & Produce,1241 Millbury St,Worcester,W,01607,42.22044023,-71.78379069,176569.9217,885592.9302,M,66
G8,A Plus Market Inc,50 Central St,Peabody,G,01960,7.5,42.5299229,-70.9272682,247054.2882,920088.4239,M,100
R3031,A R T U Restaurant,6 Prince St,Boston,R,02113,60,42.36416,-71.053635,236768.7556,901613.8619,M,100
W5,A Simos & Company Inc,60 Avocado St,Springfield,W,01104,42.11027603,-72.60945501,108245.4098,873914.4684,M,66
R464,A Taste of Nantucket,19 Boynton Ln,Nantucket,R,02554,18,41.26733977,-70.10133945,317205.8095,780654.8675,M,100
R1338,A Taste of Time Cafe,122 Washington St,Salem,R,01970,24,42.52109448,-70.89558853,249663.9219,919125.7352,M,100
W6,"A. Russo & Sons, Inc.",560 Pleasant St,Watertown,W,02472,42.58094298,-72.21799576,141059.1283,925845.9483,T,66
W7,"A.B. Seafood, LLC",18 Newmarket Sq,Boston,W,02118,42.33016936,-71.06538091,235820.4472,897833.3548,M,66
R1511,A-1 Deli,92 Merrimack St,Haverhill,R,01830,30,42.77456501,-71.0787123,234477.8929,947191.7981,M,100
R1512,Abba,89 Old Colony Way,Orleans,R,02653,30,41.7843329,-70.00093287,324609.7805,838210.3999,M,100
R3572,Abbey Grill,197 Portland St Ste 4,Boston,R,02114,93,42.36414266,-71.06151797,236119.4211,901608.5682,M,100
IH206,ABBOTT HOUSE NURSING HOME,28 ESSEX STREET,LYNN,IH,01902,18.0675,42.47514375,-70.92775865,247054.8172,914003.3866,M,100
R3685,Abe & Louies,793 Boylston St,Boston,R,02116,117,42.34889856,-71.08168544,234466.4687,899906.9805,M,100
IH207,ABERJONA NURSING CENTER INC,184 SWANTON STREET,WINCHESTER,IH,01890,40.4055,42.46113177,-71.13791191,229780.8721,912352.3087,M,100
R3449,Above and Beyond Catering,42a Plympton St,Boston,R,02118,85.5,42.3390316,-71.06823292,235580.4095,898816.532,M,100
F4,ABP Corp (Au Bon Pain),19 Fid Kennedy Ave,Boston,F,02210,42.34653549,-71.0291151,238799.3391,899667.0802,M,100
R2,Abraham's Bagels,11 Liberty St,Newburyport,R,01950,15,42.81104508,-70.86915973,251597.2968,951350.0535,M,100
W8,Abramo Fish,16 Fish Pier,Boston,W,02210,42.3495511,-71.03921742,237965.1404,899997.4929,M,66
W9,AC Produce Company,487 Main St,Springfield,W,01105,42.6718754,-71.81074976,174526.8482,935745.4671,T,66
R3244,Acacia At Indian Meadows Country Club,275 Turnpike Rd,Westborough,R,01581,75,42.28308861,-71.6463987,187925.086,892522.9384,M,100
IH208,ACADEMY MANOR,89 MORTON STREET,ANDOVER,IH,01810,57.159,42.655865,-71.12952,230377.1271,933986.5065,M,100
R1513,Academy Ocean Grille Rest,2 Academy Pl,Orleans,R,02653,30,41.786711,-69.98742919,325727.4716,838494.3061,M,100
R1514,Acapulcos,500 BOSTON PROVIDENCE TPKE,NORWOOD,R,02062,30,42.19429339,-71.1837407,226121.479,882698.1609,M,100
R2045,Acapulcos Restaurant,1388 Hancock St,Quincy,R,02169,37.5,42.24995567,-71.00245334,241058.7298,888952.1005,M,100
G9,Ack Market Inc,158 Jefferson Rd,Buzzards Bay,G,02532,30,41.73651692,-70.62105726,273119.2058,832181.2838,M,100
F5,Acorean Manufacturing,210 Alden St,Fall River,F,02723,41.68891853,-71.134898,230395.8923,826582.9544,M,100
R3,Adamo's Pizza,126 Northampton St Ste F,Easthampton,R,01027,15,42.28066806,-72.6701599,103484.9099,892905.7605,M,100
R3245,Adam's Corner General Store,772 Adams St 776,Boston,R,02124,75,42.283405,-71.055715,236644.1416,892643.1545,M,100
F6,Adams Farm,775 Bearsden Rd,Athol,F,01331,42.59358251,-72.20231028,142358.2937,927239.2201,M,100
G10,Adams Shore Super Market,494 Sea St,Quincy,G,02169,15,42.2612064,-70.9796798,242930.4108,890212.9577,M,100
IH142,"ADCARE HOSPITAL OF WORCESTER,",107 LINCOLN STREET,WORCESTER,IH,01605,71.1531,42.276427,-71.79539328,175633.5396,891814.8313,M,100
W49,"Ademar's Natural Products, Inc.",52 Broadway Ste 6,Somerville,W,02145,42.4083357,-71.1366817,229907.0331,906488.2719,T,66
F7,ADM,150 Oakland St,Mansfield,F,02048,42.04005585,-71.21275018,223783.14,865558.3451,M,100
R4,Admiral O'Briens,407 Main St,Sturbridge,R,01566,15,42.1119265,-72.09716821,150613.0511,873673.9313,M,100
R2046,Adrian's Restaurant,535 Rte 6,North Truro,R,02652,37.5,42.04843817,-70.10625662,315376.2667,867391.9765,M,85
W10,Ae Goulet Inc,102 Jackson St,Salem,W,01970,41.97199932,-71.30802805,215911.5413,857977.1569,T,66
R3246,Aegean Restaurant,640 Arsenal St,Watertown,R,02472,75,42.36237106,-71.15304168,228581.1155,901377.0741,M,100
R3473,Aegean Restaurant,257 Cochituate Rd,Framingham,R,01701,90,42.30213734,-71.40404936,207911.5977,894632.8673,M,100
F8,Aesops Bagel Bakery L.L.c,15 Garfield Ave,Somerville,F,02145,42.38926236,-71.08648436,234049.3351,904388.489,M,100
R3032,Agave Mexican Bistro,50 State St,Newburyport,R,01950,60,42.8101701,-70.8701354,251518.2144,951252.2636,M,100
R2890,Agawam Diner,165 NEWBURYPORT TPKE,ROWLEY,R,01969,52.5,42.705405,-70.909075,248413.9276,939591.4645,M,100
G11,Agawam Public Market,768 Main St,Agawam,G,01001,27,42.06726772,-72.61576645,107660.9812,869144.6979,M,100
R389,Agostino's Restaurant,23 Washington St,Natick,R,01760,16.5,42.285044,-71.34634417,212673.0875,892741.1861,M,100
R5,Agresti's Restaurant,11 Fuller Rd,Chelmsford,R,01824,15,42.61477398,-71.34385646,212811.2181,929367.6705,M,100
F9,Agri-Mark,100 Milk St,Methuen,F,01844,42.73744809,-71.15525527,228230.3721,943040.4107,M,100
F10,"Agri-Mark, Inc.",100 Milk St Ste 5,Methuen,F,01844,42.73744809,-71.15525527,228230.3721,943040.4107,M,100
F11,"Agri-Mark, Inc.",958 Riverdale St,West Springfield,F,01089,42.1300674,-72.62623203,106887.0139,876130.7229,M,100
F12,Agritech Purchase Inc,252 Elm St,Dartmouth,F,02748,41.58624519,-70.94319583,246429.9559,815265.7586,M,100
R3033,Aigo Bistro,84 Thoreau St,Concord,R,01742,60,42.45677216,-71.35732027,211735.9039,911814.6502,M,100
R465,Al Dente Restaurant,109 Salem St Ste 1,Boston,R,02113,18,42.3642664,-71.0555006,236615.0189,901624.8777,M,100
R2498,Al Mac's Diner & Restaurant,135 President Ave,Fall River,R,02720,45,41.71636882,-71.1537447,228814.4774,829625.2275,M,100
R2499,Alamo The,55 Medway Rd,Milford,R,01757,45,42.14917891,-71.4989362,200087.9277,877638.7484,M,100
G12,Alan Jick,1845 Massachusetts Ave,Lexington,G,02420,22.5,42.4482664,-71.2289731,222295.8792,910895.444,M,100
R3247,Alberto's Restaurant,360 Main St,Hyannis,R,02601,75,41.65320431,-70.28296489,301375.4766,823274.4485,M,100
R3403,Albert's Restaurant,217 Washington St,Stoughton,R,02072,82.5,42.14009669,-71.10278696,232835.8539,876706.4211,M,100
G13,Albrizios,389 Main St,Worcester,G,01608,18,42.26420328,-71.80181056,175099.3873,890458.947,M,100
R2500,Alchemy,71 Main St,Edgartown,R,02539,45,41.39002387,-70.51459877,282419.6984,793796.3957,M,100
R2501,Alchemy Cafe & Bistro,3 Duncan St,Gloucester,R,01930,45,42.61219394,-70.66110804,268830.9036,929407.8231,M,100
IH209,ALDEN COURT NURS & REHAB CTR,389 ALDEN ROAD,FAIRHAVEN,IH,02719,46.647,41.6654208,-70.9043399,249608.5547,824081.2821,M,100
F13,Alden Merrell Cheesecake Co,447 Boston Post Rd,Sudbury,F,01776,42.3604548,-71.42375167,206281.256,901108.9,M,100
R390,Aldente Pizzaria,23 Sack Blvd,Leominster,R,01453,16.5,42.53168021,-71.74448001,179914.5378,920154.4367,M,100
R466,Alex's Roastbeef & Pizza,582 Dorchester Ave,Boston,R,02127,18,42.3299659,-71.0569506,236515.3682,897814.3298,M,100
F14,Alfredo Aiello Italian Foods,122 Water St,Quincy,F,02169,42.24204725,-71.00273551,241040.5662,888073.5578,M,100
W11,Alfredo Aiello Itln Fd Rtlstr,8 Franklin St,Quincy,W,02169,42.22638834,-71.83383006,172441.221,886268.5603,T,66
R979,Alfresco Trattoria & Cafe,680 Main St,Holden,R,01520,22.5,42.33918753,-71.83777729,172164.9816,898798.9118,M,100
R1428,Algiers Coffee House,40 Brattle St Ste 3,Cambridge,R,02138,27,42.373807,-71.12135838,231185.4107,902658.4321,M,100
R980,Alicante Mediterranean Grille,84 Uxbridge Rd,Mendon,R,01756,22.5,42.09718262,-71.57508877,193788.5241,871866.1573,M,100
R1391,All American Diner,60 Court St,Plymouth,R,02360,25.5,41.95867864,-70.66791104,268980.8594,856816.1968,M,100
W12,All Natural Distributors Inc,11 Perry Dr Ste F,Foxboro,W,02035,42.05849996,-70.70520921,265785.5931,867873.396,T,66
R2842,All Seasons Restaurant & Lounge,327 Plymouth St,Halifax,R,02338,48,41.99398538,-70.84656994,254140.1772,860608.6171,M,100
F15,"Allcaneat Foods, Ltd.",937 N Main St,Randolph,F,02368,42.18717995,-71.05635556,236646.9004,881954.9277,M,100
F16,Alliance Food Services Inc,23 Deerfield Rd,Sherborn,F,01770,42.22270321,-71.37549507,210278.915,885812.8122,M,100
IH210,ALLIANCE HEALTHCARE CTR AT BRA,175 GROVE STREET,BRAINTREE,IH,02184,33.1785,42.19258562,-70.99117206,242027.6903,882585.4046,M,100
R3248,Allora Ristorante,139 Lakeside Ave,Marlborough,R,01752,75,42.34228095,-71.56688058,194488.8663,899089.5634,M,100
G14,Allston Deli,165 Allston St,Boston,G,02134,15,42.2944048,-71.067611,235656.7874,893859.9004,M,62
W13,Alma Foods Inc,254 Tosca Dr,Stoughton,W,02072,42.13624312,-71.12430681,231058.7998,876270.3421,M,66
R3034,Alma Nove,22 Shipyard Dr,Hingham,R,02043,60,42.25006803,-70.92247664,247658.4185,889006.172,M,64
F17,Als Beverage Company,250 Albany St,Springfield,F,01105,42.11970913,-72.57521904,111089.8613,874925.8758,M,100
R1935,Al's Restaurant,136 Water St,Plymouth,R,02360,33,41.96106152,-70.66750821,269011.6698,857081.1752,M,100
R981,Al's State Street Caf?,112 State St,Boston,R,02109,22.5,42.35914008,-71.0545982,236692.3255,901055.858,M,100
R467,Amanouz Cafe,44 Main St,Northampton,R,01060,18,42.31970185,-72.62939676,106904.2712,897195.7509,M,100
W14,Amaral's Bakery Inc.,241 Globe St,Fall River,W,02724,41.68877554,-71.17632679,226946.8931,826553.1466,M,66
G15,Amarals Fish Market,488 Belleville Ave,New Bedford,G,02746,16.5,41.6645911,-70.9230002,248055.1102,823978.4484,M,100
F18,Amaral's Linguica,433 S 2nd St,New Bedford,F,02740,41.62185,-70.92205,248166.4117,819231.9397,M,100
R1515,Amari Ristorante and Bar,674 Route 6a,East Sandwich,R,02537,30,41.72850932,-70.39931591,291576.4143,831506.0335,M,100
R1936,Amarin of Thailand,287 Centre St,Newton,R,02458,33,42.35819763,-71.1848118,225965.7383,900903.3474,M,100
F19,Ambika Foods Inc,50 Beharrell St,Concord,F,01742,42.45724132,-71.39480289,208652.7651,911862.2847,M,100
R982,Amelia's,78 Thatcher Rd,Gloucester,R,01930,22.5,42.62338688,-70.62932387,271426.0066,930677.2531,M,100
W15,"Amerasia Trade, Corporation",31 Winnisimmet St,Chelsea,W,02150,42.38749543,-71.0402935,237853.7648,904211.695,M,66
R6,American Barbecue,5 Railroad Ave,Rowley,R,01969,15,42.72511226,-70.8645603,252044.6009,941806.8565,M,100
F20,American By Products CO,14 Andrew St,Lynn,F,01901,42.46411055,-70.94760913,245430.4929,912767.0869,M,100
W16,American By Products Inc,13 Andrew St,Lynn,W,01901,42.4112126,-71.1461574,229125.707,906804.5504,T,66
R1516,American Classics Restaurant,740 Springfield St,Feeding Hills,R,01030,30,42.07690536,-72.65385096,104523.8386,870256.9947,M,100
G16,American Food Basket,942 Hyde Park Ave,Boston,G,02136,34.5,42.26759865,-71.12092009,231273.9385,890861.5278,M,100
W17,American Fruit Distributors Inc,34 Market St Ste 18,Everett,W,02149,42.85881168,-70.9297154,246608.9634,956621.5672,T,66
F21,American Hard Cider Corp,2345 Washington St,Newton,F,02462,42.3253638,-71.2576304,219977.2001,897236.6944,M,100
IC1,American International College,1000 State Street,Springfield,IC,01109,128.638125,42.11367282,-72.55742984,112552.4673,874237.0737,M,100
F22,American Nut & Chocolate Co,230 W Broadway,Boston,F,02127,42.3397333,-71.05229347,236893.5023,898901.2443,M,100
R468,American Pizza & Grill,2360 Cranberry Hwy,Wareham,R,02571,18,41.7815074,-70.7441437,262835.6599,837079.9613,T,62
W18,American Pride Seafoods,40 Herman Melville Blvd,New Bedford,W,02740,41.6402311,-70.92367313,248017.3474,821272.5237,M,66
F23,American Seafoods Processing LLC,40 Herman Melville Blvd,New Bedford,F,02740,41.6402311,-70.92367313,248017.3474,821272.5237,M,100
R2047,American Seasons,80 Center St,Nantucket,R,02554,37.5,41.2869648,-70.1022034,317097.699,782833.1329,M,100
F24,Amerifries Inc,190 Wildflower Dr,Amherst,F,01002,42.3523917,-72.4888999,118526.9127,900682.7639,M,100
IH1,AMESBURY HEALTH CENTER,24 MORRILL PLACE,AMESBURY,IH,01913,7.4898,42.84885682,-70.93331563,246322.0714,955513.7137,M,100
R2048,Amesbury Playhouse Dinner Theatre,194 Main St,Amesbury,R,01913,37.5,42.85197571,-70.93169543,246452.1997,955861.0746,M,100
IH211,AMESBURY VILLAGE,22 MAPLE STREET,AMESBURY,IH,01913,42.705,42.85565285,-70.94188852,245616.3735,956264.0693,M,100
F25,Amherst Brewing Co Inc,36 N Pleasant St,Amherst,F,01002,42.3764648,-72.519881,116006.5461,903386.5942,M,100
R7,Amherst Chinese Food,62 Main St,Amherst,R,01002,15,42.37579,-72.51832067,116134.148,903310.1087,M,100
IC2,Amherst College,100 Boltwood Ave,Amherst,IC,01002,116.802,42.3720654,-72.5187921,116090.3825,902896.884,T,63
R8,Amici Trattoria,7 Summer St,Chelmsford,R,01824,15,42.59392529,-71.34963286,212341.3616,927050.8698,M,100
F26,Amir's Caterers,29 Germania St,Jamaica Plain,F,02130,42.31419543,-71.10275024,232748.8276,896044.0371,M,100
F27,AML International,7 Conway St,New Bedford,F,02740,41.62686,-70.91706135,248578.3564,819791.2048,M,100
R2049,Amore Cafe,92 Shrewsbury St,Worcester,R,01604,37.5,42.26336727,-71.79058227,176025.4473,890362.8713,M,100
R3035,Amrhein's,80 W Broadway,Boston,R,02127,60,42.34178961,-71.05544331,236632.7504,899128.2904,M,100
F28,Amstell Beverage,209 Theodore Rice Blvd,New Bedford,F,02745,41.7263284,-70.9542593,245407.8777,830818.196,M,54
R1517,ANAM Cara Public House,1648 Beacon St,Brookline,R,02445,30,42.33924642,-71.13634242,229967.6803,898814.2219,M,100
R2050,Anchor Post and Grill,20 Cabot St,Beverly,R,01915,37.5,42.54146076,-70.88542405,250482.8125,921393.9622,M,100
IH212,ANCHORAGE NURSING HOME,904 MOHAWK TRAIL,SHELBURNE,IH,01370,11.169,42.59343114,-72.68139661,103039.3339,927656.5892,M,80
R1518,Anchovies,433 Columbus Ave,Boston,R,02116,30,42.34384635,-71.07769775,234797.8045,899347.4247,T,100
G17,Andersons Catering,42 Main St,Concord,G,01742,225,42.45993554,-71.35018589,212322.1134,912167.0426,M,100
IC3,Andover Newton Theological School,210 Herrick Road,Newton,IC,02459,28.562625,42.32592992,-71.19048859,225511.0825,897317.4793,M,96
R983,Andrea's Pizza Ristorante,186 Stafford St,Worcester,R,01603,22.5,42.2357371,-71.8500406,171107.2556,887312.319,M,100
